Trong con người cái gì cũng cần phải đẹp, cả nét mặt, quần áo lẫn tâm hồn và tư tưởng.|M. Smuevich
Sách là một cái bình quý. Nó trao cho ta toàn bộ nội dung của nó, nhưng không vì thế mà trở nên trống rỗng.|A.Đơcuaxen
Để vàng, để bạc không bằng để sách cho con.|Ngạn ngữ Việt Nam
Đức tính đầu tiên mà người làm khoa học cần phải có là phải biết quan sát và phân tích, biết so sánh giữa các hiện tượng cũ và mới, đúng và sai. Muốn biết cái mới phải biết tất cả những cái cũ. Đó là phần của sách báo và thông tin.|Tôn Thất Tùng
Án sách cây đèn hai bạn cũ, Song mai liên trúc một lòng xanh.|Nguyễn Trãi
Tích đức cho con hơn tích của, Đua lành cùng thế mựa đua khôn, Một niềm trung hiếu làm miên cả, Hai quyển thi thư ấy báu chôn.|Nguyễn Trãi
Bạn cũ thiếu đâu đèn liễn sách, Tích đâu chẳng kén trúc mai vàng.|Nguyễn Trãi
Dẫu có bạc vàng trăm vạn lạng, Chẳng bằng kinh sử một vài kho.|Lê Quý Đôn
Trong bụng không có được ba vạn quyển sách, trong mắt không có được núi sông kỳ lạ của thiên hạ thì chưa chắc đã làm được văn.|Lê Quý Đôn
Học ở đâu? Học ở trường, học trong sách vở, học lẫn nhau và học ở dân.|Hồ Chí Minh
Sách là thuốc bổ tinh thần. Sách là thuốc chữa tội ngu.|Hồ Chí Minh
Bài báo là tờ hịch Cách Mạng.|Hồ Chí Minh
Gia hữu cầm thư nhi bối lạc Môn vô xa mãi cố nhân sơ - Nhà có sách đèn con cháu thích Cửa không xe ngựa bạn bè thưa.|Nguyễn Trãi
Không đọc sách thì cuộc sống thực là nặng nề.|V.I.Lênin
Một cuốn sách dù dở đến đâu ta cũng thu lượm được một vài điều đặc biệt của nó.|Ngạn ngữ Mỹ La Tinh
Đi câu không mang theo lưỡi câu và học không có sách – Đó chỉ là những công việc vô tích sự.|Tục ngữ Đan Mạch
Đọc các tác phẩm nghệ thuật là một nguồn vô giá để nhận thức cuộc sống và các quy luật đấu tranh của cuộc sống.|Các Mác
Việc đọc sách đã thức tỉnh trong tôi niềm ước vọng nóng bỏng là được đặt viên đá nhỏ bé của tôi vào tòa nhà hùng vĩ của môn tự nhiên học.|Đácuyn
Sách là một sức mạnh lớn lao.|V.I.Lênin
Tứ tử thiên kim Bất như tứ tử nhất kinh - Để lại cho con ngàn vàng, Không bằng để lại một quyển sách.|Thành ngữ Trung Quốc
